a/D,P/fcAg,?lfy/fc,?sfyh/ft,Failure
4.433,0,0.165,0.128,2
3.103,0,0.165,0.128,2
1.773,0,0.165,0.128,2
3,0.1,0.122,0.141,2
3,0.1,0.079,0.114,2
3,0.099,0.078,0.113,2
3,0.07,0.079,0.113,2
3,0.107,0.084,0.117,2
2,0.15,0.194,0.77,2
2,0.15,0.222,0.735,2
1.5,0.1,0.243,1.026,2
2.5,0.1,0.237,1.034,2
2,0.15,0.314,1.092,2
2,0.1,0.266,1.5,2
2,0.04,0.223,0.593,2
2.6,0.066,0.181,0.142,2
2.6,0.264,0.181,0.142,2
2.667,0.071,0.218,0.163,2
2.5,0.089,0.204,0.248,2
5.714,0.073,0.306,0.472,2
2.5,0.066,0.14,0.26,2
1.825,0.066,0.14,0.26,2
4,0.066,0.28,0.26,2
2,0,0.456,0.458,3
1.5,0,0.464,0.472,3
2,0,0.486,0.406,3
2,0.1,0.418,0.445,3
2,0.1,0.399,0.435,3
1.5,0.1,0.406,0.329,3
1.75,0.175,0.42,0.319,3
2,0,0.42,0.335,3
2,0,0.452,0.335,3
1.091,0,0.483,0.466,3
1.091,0,0.475,0.924,3
1.091,0.115,0.467,0.458,3
1.091,0.12,0.486,0.935,3
1.091,0.109,0.444,1.276,3
1.091,0.113,0.609,0.906,3
1.091,0.247,0.502,0.475,3
1.091,0.225,0.456,0.906,3
1.091,0.219,0.445,1.278,3
1.091,0.11,0.441,0.618,3
1.636,0.11,0.443,0.619,3
1.636,0.209,0.674,0.763,3
1.091,0.221,0.444,0.62,3
1.636,0.231,0.465,0.634,3
1.636,0.193,0.73,0.794,3
1.636,0.166,0.334,0.538,3
2,0.002,0.197,0.074,3
2,0.002,0.219,0.112,3
2,0.002,0.181,0.197,3
2,0.057,0.15,0.094,3
1.5,0.06,0.159,0.117,3
2.434,0.137,0.199,0.193,3
2.5,0.14,0.168,0.102,3
2.25,0.071,0.218,0.163,3
2,0,0.228,0.082,3
2.303,0.163,0.431,0.189,3
2,0.065,0.265,0.173,3
2,0.177,0.239,0.149,3
4.143,0.658,0.378,0.374,3
4.143,0.329,0.378,0.374,3
1.818,0.035,0.756,1.328,3
2,0.043,0.237,0.108,3
2.125,0.066,0.181,0.142,3
2.133,0.264,0.181,0.142,3
1.933,0.81,0.266,0.329,3
